Month,passenger_count
7/31/2008,20170
8/31/2008,11938
9/30/2008,9987
10/31/2008,6542
11/30/2008,71505
12/31/2008,1231
1/31/2009,16021
2/28/2009,50323
3/31/2009,17090
4/30/2009,6278
5/31/2009,11040
6/30/2009,5876
7/31/2009,15436
8/31/2009,13909
9/30/2009,9676
10/31/2009,61888
11/30/2009,25279
12/31/2009,53694
1/31/2010,27209
2/28/2010,3132
3/31/2010,4993
4/30/2010,13961
5/31/2010,13057
6/30/2010,2813
7/31/2010,11925
8/31/2010,9353
9/30/2010,13262
10/31/2010,31234
11/30/2010,33810
12/31/2010,11063
1/31/2011,36797
2/28/2011,26791
3/31/2011,5617
4/30/2011,6800
5/31/2011,12805
6/30/2011,12952
7/31/2011,12904
8/31/2011,6948
9/30/2011,9428
10/31/2011,35470
11/30/2011,49706
12/31/2011,13271
1/31/2012,8149
2/29/2012,32001
3/31/2012,12896
4/30/2012,3392
5/31/2012,12781
6/30/2012,1130
7/31/2012,13146
8/31/2012,13786
9/30/2012,12626
10/31/2012,10695
11/30/2012,76605
12/31/2012,17035
1/31/2013,1545
2/28/2013,28801
3/31/2013,15833
4/30/2013,6777
5/31/2013,4147
6/30/2013,12961
7/31/2013,6398
8/31/2013,18670
9/30/2013,13049
10/31/2013,11790
11/30/2013,26755
12/31/2013,37368
1/31/2014,26400
2/28/2014,16570
3/31/2014,2306
4/30/2014,17197
5/31/2014,9692
6/30/2014,3909
7/31/2014,22556
8/31/2014,12921
9/30/2014,17173
10/31/2014,48643
11/30/2014,29831
12/31/2014,15048
1/31/2015,35637
2/28/2015,3918
3/31/2015,4816
4/30/2015,3104
5/31/2015,3581
6/30/2015,22748
7/31/2015,29577
8/31/2015,37018
9/30/2015,9154
10/31/2015,19764
11/30/2015,62506
12/31/2015,61778
1/31/2016,47185
2/29/2016,25415
3/31/2016,16175
4/30/2016,2126
5/31/2016,11686
6/30/2016,22156
7/31/2016,9527
8/31/2016,21178
9/30/2016,36290
10/31/2016,41512
11/30/2016,46809
12/31/2016,100369
1/31/2017,58310
2/28/2017,1086
3/31/2017,21360
4/30/2017,37325
5/31/2017,17038
6/30/2017,15489
7/31/2017,24544
8/31/2017,7459
9/30/2017,6370
10/31/2017,103211
11/30/2017,43369
12/31/2017,17059
1/31/2018,53040
2/28/2018,35204
3/31/2018,12046
4/30/2018,27684
5/31/2018,26320
6/30/2018,25816
7/31/2018,27882
8/31/2018,49382
9/30/2018,23539
10/31/2018,89695
11/30/2018,103200
12/31/2018,72955
1/31/2019,114256
2/28/2019,43033
3/31/2019,49585
4/30/2019,49502
5/31/2019,35289
6/30/2019,11251
7/31/2019,22034
8/31/2019,17812
9/30/2019,47235
10/31/2019,17150
11/30/2019,24356
12/31/2019,127056
1/31/2020,15100
2/29/2020,166419
3/31/2020,39250
4/30/2020,47093
5/31/2020,32325
6/30/2020,1992
7/31/2020,3489
8/31/2020,4890
9/30/2020,1035
10/31/2020,1287
11/30/2020,4899
12/31/2020,48093
1/31/2021,2075
2/28/2021,65239
3/31/2021,22949
4/30/2021,19646
5/31/2021,12049
6/30/2021,7457
7/31/2021,20317
8/31/2021,14663
9/30/2021,911
10/31/2021,109797
11/30/2021,8655
12/31/2021,127828
1/31/2022,26985
2/28/2022,44239
3/31/2022,18327
4/30/2022,21697
5/31/2022,35017
6/30/2022,21052
7/31/2022,51120
8/31/2022,50623
9/30/2022,49138
10/31/2022,49054
11/30/2022,51100
12/31/2022,47238
1/31/2023,40854
2/28/2023,57455
3/31/2023,61056
4/30/2023,61309
5/31/2023,60879
6/30/2023,49321
7/31/2023,47053
8/31/2023,49785
9/30/2023,50945
10/31/2023,60616
11/30/2023,51529
12/31/2023,45923
1/31/2024,47869
2/28/2024,51925
3/31/2024,49061
4/30/2024,54548
5/31/2024,49569
6/30/2024,42554
